file,bank_slot_guess,confidence,reason
NEWNAME.SET\GLOBAL\MXPRESET.MXP,manual_review,low,path/name pattern only
NEWNAME.SET\GLOBAL\SETUP.GBL,manual_review,low,path/name pattern only
NEWNAME.SET\GLOBAL\VPPRESET.VOC,manual_review,low,path/name pattern only
NEWNAME.SET\PAD\USER01.PAD,"USER01, USER, number_01",medium,path/name pattern only
NEWNAME.SET\PAD\USER02.PAD,"USER02, USER, number_02",medium,path/name pattern only
NEWNAME.SET\PAD\USER03.PAD,"USER03, USER, number_03",medium,path/name pattern only
NEWNAME.SET\PAD\USER04.PAD,"USER04, USER, number_04",medium,path/name pattern only
NEWNAME.SET\PAD\USER05.PAD,"USER05, USER, number_05",medium,path/name pattern only
NEWNAME.SET\PAD\USER06.PAD,"USER06, USER, number_06",medium,path/name pattern only
NEWNAME.SET\PAD\USER07.PAD,"USER07, USER, number_07",medium,path/name pattern only
NEWNAME.SET\PAD\USER08.PAD,"USER08, USER, number_08",medium,path/name pattern only
NEWNAME.SET\PAD\USER09.PAD,"USER09, USER, number_09",medium,path/name pattern only
NEWNAME.SET\PAD\USER10.PAD,"USER10, USER, number_10",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK01.PRF,"BANK01, number_01",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK02.PRF,"BANK02, number_02",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK03.PRF,"BANK03, number_03",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK04.PRF,"BANK04, number_04",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK05.PRF,"BANK05, number_05",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK06.PRF,"BANK06, number_06",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK07.PRF,"BANK07, number_07",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK08.PRF,"BANK08, number_08",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK09.PRF,"BANK09, number_09",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK10.PRF,"BANK10, number_10",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK11.PRF,"BANK11, number_11",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK12.PRF,"BANK12, number_12",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK13.PRF,"BANK13, number_13",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK14.PRF,"BANK14, number_14",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK15.PRF,"BANK15, number_15",medium,path/name pattern only
NEWNAME.SET\PERFORM\BANK16.PRF,"BANK16, number_16",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\LISTDB.SBL,manual_review,low,path/name pattern only
NEWNAME.SET\STYLE\USER01.STY,"USER01, USER, number_01",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK01.SBD,"BANK01, number_01",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK02.SBD,"BANK02, number_02",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK03.SBD,"BANK03, number_03",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK04.SBD,"BANK04, number_04",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK05.SBD,"BANK05, number_05",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK06.SBD,"BANK06, number_06",medium,path/name pattern only
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK07.SBD,"BANK07, number_07",medium,path/name pattern only
