file_or_group,category,suggested_chain,confidence,reason
NEWNAME.SET\GLOBAL\MXPRESET.MXP,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\GLOBAL\SETUP.GBL,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\GLOBAL\VPPRESET.VOC,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PAD\USER01.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER02.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER03.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER04.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER05.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER06.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER07.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER08.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER09.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PAD\USER10.PAD,Pad,high cut + wide reverb + slow attack,0.58,instrument keyword match
NEWNAME.SET\PERFORM\BANK01.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK02.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK03.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK04.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK05.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK06.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK07.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK08.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK09.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK10.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK11.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK12.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK13.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK14.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK15.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\PERFORM\BANK16.PRF,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\LISTDB.SBL,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\STYLE\USER01.STY,Drums,punch EQ + bus compression hint + room send,0.35,style container may include rhythm; manual review
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK01.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK02.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK03.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK04.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK05.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK06.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK07.SBD,Unknown,safe neutral chain + gain trim,0.25,no instrument keyword
