file,extension,size,classification,confidence,relationship,reason
NEWNAME.SET\GLOBAL\MXPRESET.MXP,.mxp,1943,likely_global,0.62,HYPOTHESIS_ONLY,GLOBAL folder or global extension
NEWNAME.SET\GLOBAL\SETUP.GBL,.gbl,3381,likely_global,0.62,HYPOTHESIS_ONLY,GLOBAL folder or global extension
NEWNAME.SET\GLOBAL\VPPRESET.VOC,.voc,34304,likely_global,0.62,HYPOTHESIS_ONLY,GLOBAL folder or global extension
NEWNAME.SET\PAD\USER01.PAD,.pad,17435,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER02.PAD,.pad,4547,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER03.PAD,.pad,15443,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER04.PAD,.pad,3580,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER05.PAD,.pad,3302,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER06.PAD,.pad,3648,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER07.PAD,.pad,877,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER08.PAD,.pad,529,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER09.PAD,.pad,666,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PAD\USER10.PAD,.pad,661,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK01.PRF,.prf,29244,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK02.PRF,.prf,25481,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK03.PRF,.prf,24810,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK04.PRF,.prf,24709,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK05.PRF,.prf,23741,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK06.PRF,.prf,23152,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK07.PRF,.prf,28111,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK08.PRF,.prf,22954,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK09.PRF,.prf,32230,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK10.PRF,.prf,31879,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK11.PRF,.prf,29437,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK12.PRF,.prf,26615,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK13.PRF,.prf,31626,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK14.PRF,.prf,22598,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK15.PRF,.prf,30181,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\PERFORM\BANK16.PRF,.prf,21975,likely_sound_container,0.48,HYPOTHESIS_ONLY,performance or pad-like metadata
NEWNAME.SET\SONGBOOK\LISTDB.SBL,.sbl,2915,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\STYLE\USER01.STY,.sty,767611,likely_style_container,0.78,HYPOTHESIS_ONLY,STYLE folder or style extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK01.SBD,.sbd,46514,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK02.SBD,.sbd,47582,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK03.SBD,.sbd,47913,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK04.SBD,.sbd,47200,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK05.SBD,.sbd,46636,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK06.SBD,.sbd,51534,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK07.SBD,.sbd,2557,likely_songbook,0.62,HYPOTHESIS_ONLY,SONGBOOK folder or songbook extension
