relative_path,extension,size,category_guess,confidence,relationship
NEWNAME.SET\GLOBAL\MXPRESET.MXP,.mxp,1943,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\GLOBAL\SETUP.GBL,.gbl,3381,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\GLOBAL\VPPRESET.VOC,.voc,34304,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\PAD\USER01.PAD,.pad,17435,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER02.PAD,.pad,4547,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER03.PAD,.pad,15443,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER04.PAD,.pad,3580,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER05.PAD,.pad,3302,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER06.PAD,.pad,3648,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER07.PAD,.pad,877,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER08.PAD,.pad,529,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER09.PAD,.pad,666,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PAD\USER10.PAD,.pad,661,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK01.PRF,.prf,29244,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK02.PRF,.prf,25481,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK03.PRF,.prf,24810,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK04.PRF,.prf,24709,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK05.PRF,.prf,23741,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK06.PRF,.prf,23152,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK07.PRF,.prf,28111,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK08.PRF,.prf,22954,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK09.PRF,.prf,32230,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK10.PRF,.prf,31879,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK11.PRF,.prf,29437,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK12.PRF,.prf,26615,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK13.PRF,.prf,31626,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK14.PRF,.prf,22598,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK15.PRF,.prf,30181,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\PERFORM\BANK16.PRF,.prf,21975,possible_performance_file,0.6,UNKNOWN
NEWNAME.SET\SONGBOOK\LISTDB.SBL,.sbl,2915,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\STYLE\USER01.STY,.sty,767611,possible_style_file,0.72,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK01.SBD,.sbd,46514,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK02.SBD,.sbd,47582,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK03.SBD,.sbd,47913,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK04.SBD,.sbd,47200,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK05.SBD,.sbd,46636,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK06.SBD,.sbd,51534,possible_unknown_binary,0.35,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK07.SBD,.sbd,2557,possible_unknown_binary,0.35,UNKNOWN
