item,reason,next_check,status
NEWNAME.SET\GLOBAL\MXPRESET.MXP,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\GLOBAL\SETUP.GBL,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\GLOBAL\VPPRESET.VOC,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER01.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER02.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER03.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER04.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER05.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER06.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER07.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER08.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER09.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PAD\USER10.PAD,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK01.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK02.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK03.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK04.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK05.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK06.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK07.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK08.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK09.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK10.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK11.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK12.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK13.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK14.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK15.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\PERFORM\BANK16.PRF,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\LISTDB.SBL,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\STYLE\USER01.STY,relationship not confirmed,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK01.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK02.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK03.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK04.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK05.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK06.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
NEWNAME.SET\SONGBOOK\SONGDB.SBD\BANK07.SBD,unknown binary category,V33 deeper extension and bank-slot heuristics,UNKNOWN
