source,relative,extension,reason
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NewName.BKP","NewName.BKP",".bkp","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\GLOBAL\MXPRESET.MXP","NEWNAME.SET\GLOBAL\MXPRESET.MXP",".mxp","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\GLOBAL\SETUP.GBL","NEWNAME.SET\GLOBAL\SETUP.GBL",".gbl","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\GLOBAL\VPPRESET.VOC","NEWNAME.SET\GLOBAL\VPPRESET.VOC",".voc","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\MULTISMP\RAM.KMP","NEWNAME.SET\MULTISMP\RAM.KMP",".kmp","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER01.PAD","NEWNAME.SET\PAD\USER01.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER02.PAD","NEWNAME.SET\PAD\USER02.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER03.PAD","NEWNAME.SET\PAD\USER03.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER04.PAD","NEWNAME.SET\PAD\USER04.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER05.PAD","NEWNAME.SET\PAD\USER05.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER06.PAD","NEWNAME.SET\PAD\USER06.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER07.PAD","NEWNAME.SET\PAD\USER07.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER08.PAD","NEWNAME.SET\PAD\USER08.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER09.PAD","NEWNAME.SET\PAD\USER09.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER10.PAD","NEWNAME.SET\PAD\USER10.PAD",".pad","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM01.PCM","NEWNAME.SET\PCM\RAM01.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM02.PCM","NEWNAME.SET\PCM\RAM02.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM03.PCM","NEWNAME.SET\PCM\RAM03.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM04.PCM","NEWNAME.SET\PCM\RAM04.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM05.PCM","NEWNAME.SET\PCM\RAM05.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM06.PCM","NEWNAME.SET\PCM\RAM06.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM07.PCM","NEWNAME.SET\PCM\RAM07.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM08.PCM","NEWNAME.SET\PCM\RAM08.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM09.PCM","NEWNAME.SET\PCM\RAM09.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM10.PCM","NEWNAME.SET\PCM\RAM10.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM11.PCM","NEWNAME.SET\PCM\RAM11.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM12.PCM","NEWNAME.SET\PCM\RAM12.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM13.PCM","NEWNAME.SET\PCM\RAM13.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM14.PCM","NEWNAME.SET\PCM\RAM14.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM15.PCM","NEWNAME.SET\PCM\RAM15.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM16.PCM","NEWNAME.SET\PCM\RAM16.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM17.PCM","NEWNAME.SET\PCM\RAM17.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM18.PCM","NEWNAME.SET\PCM\RAM18.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM19.PCM","NEWNAME.SET\PCM\RAM19.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM20.PCM","NEWNAME.SET\PCM\RAM20.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM21.PCM","NEWNAME.SET\PCM\RAM21.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM22.PCM","NEWNAME.SET\PCM\RAM22.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM23.PCM","NEWNAME.SET\PCM\RAM23.PCM",".pcm","Extension not in safe local writer allowlist."
"C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM24.PCM","NEWNAME.SET\PCM\RAM24.PCM",".pcm","Extension not in safe local writer allowlist."
