relative,file_name,extension,top_folder,bytes,modified_utc,classification,source
"NewName.BKP","NewName.BKP",".bkp","_ROOT",256680542,"2007-05-27T07:22:06.0000000Z","BLOCKED_UNAPPROVED_EXTENSION","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NewName.BKP"
"NEWNAME.SET\GLOBAL\MXPRESET.MXP","MXPRESET.MXP",".mxp","NEWNAME.SET",1943,"2007-06-28T09:46:14.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\GLOBAL\MXPRESET.MXP"
"NEWNAME.SET\GLOBAL\SETUP.GBL","SETUP.GBL",".gbl","NEWNAME.SET",3381,"2007-06-28T09:46:14.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\GLOBAL\SETUP.GBL"
"NEWNAME.SET\GLOBAL\VPPRESET.VOC","VPPRESET.VOC",".voc","NEWNAME.SET",34304,"2007-06-28T09:46:14.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\GLOBAL\VPPRESET.VOC"
"NEWNAME.SET\MULTISMP\RAM.KMP","RAM.KMP",".kmp","NEWNAME.SET",235247,"2007-06-28T09:48:38.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\MULTISMP\RAM.KMP"
"NEWNAME.SET\PAD\USER01.PAD","USER01.PAD",".pad","NEWNAME.SET",17435,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER01.PAD"
"NEWNAME.SET\PAD\USER02.PAD","USER02.PAD",".pad","NEWNAME.SET",4547,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER02.PAD"
"NEWNAME.SET\PAD\USER03.PAD","USER03.PAD",".pad","NEWNAME.SET",15443,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER03.PAD"
"NEWNAME.SET\PAD\USER04.PAD","USER04.PAD",".pad","NEWNAME.SET",3580,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER04.PAD"
"NEWNAME.SET\PAD\USER05.PAD","USER05.PAD",".pad","NEWNAME.SET",3302,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER05.PAD"
"NEWNAME.SET\PAD\USER06.PAD","USER06.PAD",".pad","NEWNAME.SET",3648,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER06.PAD"
"NEWNAME.SET\PAD\USER07.PAD","USER07.PAD",".pad","NEWNAME.SET",877,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER07.PAD"
"NEWNAME.SET\PAD\USER08.PAD","USER08.PAD",".pad","NEWNAME.SET",529,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER08.PAD"
"NEWNAME.SET\PAD\USER09.PAD","USER09.PAD",".pad","NEWNAME.SET",666,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER09.PAD"
"NEWNAME.SET\PAD\USER10.PAD","USER10.PAD",".pad","NEWNAME.SET",661,"2007-06-28T09:46:20.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PAD\USER10.PAD"
"NEWNAME.SET\PCM\RAM01.PCM","RAM01.PCM",".pcm","NEWNAME.SET",2609467,"2007-06-28T09:46:34.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM01.PCM"
"NEWNAME.SET\PCM\RAM02.PCM","RAM02.PCM",".pcm","NEWNAME.SET",2761573,"2007-06-28T09:46:36.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM02.PCM"
"NEWNAME.SET\PCM\RAM03.PCM","RAM03.PCM",".pcm","NEWNAME.SET",1685510,"2007-06-28T09:46:38.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM03.PCM"
"NEWNAME.SET\PCM\RAM04.PCM","RAM04.PCM",".pcm","NEWNAME.SET",2570418,"2007-06-28T09:46:38.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM04.PCM"
"NEWNAME.SET\PCM\RAM05.PCM","RAM05.PCM",".pcm","NEWNAME.SET",1894621,"2007-06-28T09:46:40.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM05.PCM"
"NEWNAME.SET\PCM\RAM06.PCM","RAM06.PCM",".pcm","NEWNAME.SET",3678503,"2007-06-28T09:46:42.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM06.PCM"
"NEWNAME.SET\PCM\RAM07.PCM","RAM07.PCM",".pcm","NEWNAME.SET",2385716,"2007-06-28T09:46:42.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM07.PCM"
"NEWNAME.SET\PCM\RAM08.PCM","RAM08.PCM",".pcm","NEWNAME.SET",2343289,"2007-06-28T09:46:44.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM08.PCM"
"NEWNAME.SET\PCM\RAM09.PCM","RAM09.PCM",".pcm","NEWNAME.SET",2528316,"2007-06-28T09:46:46.0000000Z","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450\NEWNAME.SET\PCM\RAM09.PCM"
