"name","count","blocked","safe_copy_allowed","total_bytes","extension"
".pcm","198","198","0","478606618",".pcm"
".prf","32","32","0","838838",".prf"
".sty","30","30","0","38179828",".sty"
".sbd","14","14","0","579872",".sbd"
".pcg","10","10","0","471174",".pcg"
".pad","10","10","0","50688",".pad"
".gbl","2","2","0","6740",".gbl"
".mxp","2","2","0","3886",".mxp"
".sbl","2","2","0","5830",".sbl"
".kmp","2","2","0","470494",".kmp"
".voc","2","2","0","68608",".voc"
".bkp","1","1","0","256680542",".bkp"
