"review_id","relative_path","extension","classification","risk_tier","current_state","owner_decision","allowed_decisions","owner_notes"
"V1711-R0001","NewName.BKP",".bkp","BLOCKED_FORBIDDEN_FILE_EXTENSION","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0002","NEWNAME.SET\GLOBAL\MXPRESET.MXP",".mxp","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0003","NEWNAME.SET\GLOBAL\SETUP.GBL",".gbl","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0004","NEWNAME.SET\GLOBAL\VPPRESET.VOC",".voc","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0005","NEWNAME.SET\MULTISMP\RAM.KMP",".kmp","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0006","NEWNAME.SET\PAD\USER01.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0007","NEWNAME.SET\PAD\USER02.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0008","NEWNAME.SET\PAD\USER03.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0009","NEWNAME.SET\PAD\USER04.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0010","NEWNAME.SET\PAD\USER05.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0011","NEWNAME.SET\PAD\USER06.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0012","NEWNAME.SET\PAD\USER07.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0013","NEWNAME.SET\PAD\USER08.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0014","NEWNAME.SET\PAD\USER09.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0015","NEWNAME.SET\PAD\USER10.PAD",".pad","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0016","NEWNAME.SET\PCM\RAM01.PCM",".pcm","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0017","NEWNAME.SET\PCM\RAM02.PCM",".pcm","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0018","NEWNAME.SET\PCM\RAM03.PCM",".pcm","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0019","NEWNAME.SET\PCM\RAM04.PCM",".pcm","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0020","NEWNAME.SET\PCM\RAM05.PCM",".pcm","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
"V1711-R0021","NEWNAME.SET\PCM\RAM06.PCM",".pcm","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","BLOCKED_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE",""
