"review_id","row_number","extension","file_name","relative_path","source_top_folder","source_folder","bytes","classification","risk_tier","blocked_reason","safe_copy_allowed","safe_copy_allowed_text","writer_ready","writer_mode","owner_decision","allowed_decisions","proposed_next_action","reviewer_notes","source_file_open_enabled","source_file_copy_enabled","source_origin_mode","source_origin_path"
"V1711-R0001","1",".bkp","NewName.BKP","NewName.BKP","_ROOT","_ROOT","256680542","BLOCKED_FORBIDDEN_FILE_EXTENSION","RED","Keyboard/proprietary or high-risk extension. Copy/write/export remains blocked.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0002","2",".mxp","MXPRESET.MXP","NEWNAME.SET\GLOBAL\MXPRESET.MXP","NEWNAME.SET","NEWNAME.SET\GLOBAL","1943","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0003","3",".gbl","SETUP.GBL","NEWNAME.SET\GLOBAL\SETUP.GBL","NEWNAME.SET","NEWNAME.SET\GLOBAL","3381","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0004","4",".voc","VPPRESET.VOC","NEWNAME.SET\GLOBAL\VPPRESET.VOC","NEWNAME.SET","NEWNAME.SET\GLOBAL","34304","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0005","5",".kmp","RAM.KMP","NEWNAME.SET\MULTISMP\RAM.KMP","NEWNAME.SET","NEWNAME.SET\MULTISMP","235247","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0006","6",".pad","USER01.PAD","NEWNAME.SET\PAD\USER01.PAD","NEWNAME.SET","NEWNAME.SET\PAD","17435","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0007","7",".pad","USER02.PAD","NEWNAME.SET\PAD\USER02.PAD","NEWNAME.SET","NEWNAME.SET\PAD","4547","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0008","8",".pad","USER03.PAD","NEWNAME.SET\PAD\USER03.PAD","NEWNAME.SET","NEWNAME.SET\PAD","15443","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0009","9",".pad","USER04.PAD","NEWNAME.SET\PAD\USER04.PAD","NEWNAME.SET","NEWNAME.SET\PAD","3580","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0010","10",".pad","USER05.PAD","NEWNAME.SET\PAD\USER05.PAD","NEWNAME.SET","NEWNAME.SET\PAD","3302","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0011","11",".pad","USER06.PAD","NEWNAME.SET\PAD\USER06.PAD","NEWNAME.SET","NEWNAME.SET\PAD","3648","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0012","12",".pad","USER07.PAD","NEWNAME.SET\PAD\USER07.PAD","NEWNAME.SET","NEWNAME.SET\PAD","877","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0013","13",".pad","USER08.PAD","NEWNAME.SET\PAD\USER08.PAD","NEWNAME.SET","NEWNAME.SET\PAD","529","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0014","14",".pad","USER09.PAD","NEWNAME.SET\PAD\USER09.PAD","NEWNAME.SET","NEWNAME.SET\PAD","666","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
"V1711-R0015","15",".pad","USER10.PAD","NEWNAME.SET\PAD\USER10.PAD","NEWNAME.SET","NEWNAME.SET\PAD","661","BLOCKED_INSIDE_FORBIDDEN_SOURCE_FOLDER","RED","Source path is inside a keyboard .SET-style folder. Metadata review only.","False","NO","False","OWNER_EXPERIMENTAL_CODEWRITER_METADATA_ONLY","PENDING_REVIEW","PENDING_REVIEW;KEEP_BLOCKED;DOCUMENT_ONLY;REQUEST_SEPARATE_APPROVAL_PHASE","OWNER_REVIEW_METADATA_ONLY","","False","False","DIRECT_METADATA_SCAN","C:\Users\ssare\Desktop\KORG_PA3X_RECOVERY_BACKUP_20260619-150450"
