"keymap_id","sample_id","category","sample_file","root_midi_note","low_midi_note","high_midi_note","velocity_low","velocity_high","loop_mode","gain_db","pan"
"GKM0001","G0001","General","samples\General\G0001_ah_istn.mp3","60","59","61","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0002","G0002","General","samples\General\G0002_bila_tchaw.mp3","61","60","62","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0003","G0003","General","samples\General\G0003_dudum.mp3","62","61","63","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0004","G0004","General","samples\General\G0004_dut_re_piano.mp3","63","62","64","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0005","G0005","General","samples\General\G0005_fatet_snin.mp3","64","63","65","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0006","G0006","General","samples\General\G0006_iyir.mp3","65","64","66","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0007","G0007","General","samples\General\G0007_lim.mp3","66","65","67","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0008","G0008","General","samples\General\G0008_limlm.mp3","67","66","68","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0009","G0009","General","samples\General\G0009_lılm.mp3","68","67","69","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0010","G0010","General","samples\General\G0010_pi_tak1_09.04.25.mp3","69","68","70","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0011","G0011","General","samples\General\G0011_pian_d_ss_D.mp3","70","69","71","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0012","G0012","General","samples\General\G0012_piano_heror.mp3","71","70","72","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0013","G0013","General","samples\General\G0013_snwat.mp3","72","71","73","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0014","G0014","General","samples\General\G0014_Take.mp3","73","72","74","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0015","G0015","General","samples\General\G0015_Take1_con_i_ask.mp3","28","27","29","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0016","G0016","General","samples\General\G0016_Take11.mp3","28","27","29","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0017","G0017","General","samples\General\G0017_Take123.mp3","28","27","29","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0018","G0018","General","samples\General\G0018_Take1ttttt.mp3","28","27","29","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0019","G0019","General","samples\General\G0019_Take1yydd.mp3","28","27","29","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0020","G0020","General","samples\General\G0020_Take2_piano_4.5.25.mp3","40","39","41","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0021","G0021","General","samples\General\G0021_Take3_piano_9.4.25.mp3","52","51","53","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0022","G0022","General","samples\General\G0022_thmn_lkana.mp3","81","80","82","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0023","G0023","General","samples\General\G0023_ya_hobi.mp3","82","81","83","1","127","OFF_UNTIL_SOUND_TEST","0","0"
"GKM0024","G0024","General","samples\General\G0024_ya_mraiti.mp3","83","82","84","1","127","OFF_UNTIL_SOUND_TEST","0","0"
