"archive","extension","status","output_dir","note"
"E:\مجلد جديد\pa3x\4x =====.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\4x_=====.SET_D2CDF03C","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\4xx yzn,najjar.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\4xx_yzn,najjar.SET_11F7CEA1","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\ahhhh3x.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\ahhhh3x.SET_DE902AEF","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\ahmed khalaf  .SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\ahmed_khalaf_.SET_24B9BFF6","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\Arabic.Turkish.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\Arabic.Turkish.SET_4DBA73AF","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\Baris,pa3x.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\Baris,pa3x.SET_0CCFAD15","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\BO.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\BO.SET_9DCB465B","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\gafr.pa3x.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\gafr.pa3x.SET_38D55C4C","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\la llahtkar mohannad.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\la_llahtkar_mohannad.SET_52199FD0","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\LIVE LIVE 2020.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\LIVE_LIVE_2020.SET_B24971D5","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\mastr m.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\mastr_m.SET_38830156","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\pa3x super orintal.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\pa3x_super_orintal.SET_658301F6","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\Pa3xKronos Strings.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\Pa3xKronos_Strings.SET_ED029376","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\Pa4x MHNI 2019.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\Pa4x_MHNI_2019.SET_E523EBA4","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\ROTANA1.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\ROTANA1.SET_6E464C3A","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\SAMO GOLD PA1000.2.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\SAMO_GOLD_PA1000.2.SET_4F9D22E8","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\Shadekeshawe.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\Shadekeshawe.SET_AE08097C","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\Sury sha3bi korg PA 700.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\Sury_sha3bi_korg_PA_700.SET_91759F5A","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\SYRIAN SHAABI II NEXT Jul 2019.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\SYRIAN_SHAABI_II_NEXT_Jul_2019.SET_F39FA83A","7-Zip exit code 2"
"E:\مجلد جديد\pa3x\zain4x.SET.rar",".rar","SKIPPED_LOCKED_OR_UNSUPPORTED","E:\keyboard-manager-clean\uaos-ai-factory\uaos-v1717-open-library-intake\extracted-open-archives\zain4x.SET_FBDA7EEE","7-Zip exit code 2"
