"archive","extension","status","output_dir","note"
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\4x =====.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\4xx yzn,najjar.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ahhhh3x.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ahmed khalaf  .SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\Arabic.Turkish.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\Baris,pa3x.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\BO.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\gafr.pa3x.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\la llahtkar mohannad.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE LIVE 2020.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\mastr m.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\pa3x super orintal.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\Pa3xKronos Strings.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\Pa4x MHNI 2019.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA1.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SAMO GOLD PA1000.2.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\Shadekeshawe.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\Sury sha3bi korg PA 700.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SYRIAN SHAABI II NEXT Jul 2019.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
"E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\zain4x.SET.rar",".rar","SKIPPED_NEEDS_7ZIP_OR_TAR_OR_LOCKED","","Not extracted by R3 minimal. No bypass attempted."
