"file_name","source_path","extension","reason"
"._.DS_Store","E:\مجلد جديد\pa3x\2020 pa1000 pa4x.SET\__MACOSX\2020 pa1000 pa4x.SET\._.DS_Store",".ds_store","Unsupported or document. Metadata only."
".DS_Store","E:\مجلد جديد\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\.DS_Store",".ds_store","Unsupported or document. Metadata only."
"LIMITER.AUD","E:\مجلد جديد\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\GLOBAL\LIMITER.AUD",".aud","Unsupported or document. Metadata only."
"MASTEREQ.AUD","E:\مجلد جديد\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\GLOBAL\MASTEREQ.AUD",".aud","Unsupported or document. Metadata only."
"MIDI.MPR","E:\مجلد جديد\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\GLOBAL\MIDI.MPR",".mpr","Unsupported or document. Metadata only."
"QTPRESET.QTP","E:\مجلد جديد\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\GLOBAL\QTPRESET.QTP",".qtp","Unsupported or document. Metadata only."
"MIDI.MPR","E:\مجلد جديد\pa3x\a1111.SET\a1111.SET\GLOBAL\MIDI.MPR",".mpr","Unsupported or document. Metadata only."
"QTPRESET.QTP","E:\مجلد جديد\pa3x\a1111.SET\a1111.SET\GLOBAL\QTPRESET.QTP",".qtp","Unsupported or document. Metadata only."
"LIMITER.AUD","E:\مجلد جديد\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\GLOBAL\LIMITER.AUD",".aud","Unsupported or document. Metadata only."
"MASTEREQ.AUD","E:\مجلد جديد\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\GLOBAL\MASTEREQ.AUD",".aud","Unsupported or document. Metadata only."
"MIDI.MPR","E:\مجلد جديد\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\GLOBAL\MIDI.MPR",".mpr","Unsupported or document. Metadata only."
"QTPRESET.QTP","E:\مجلد جديد\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\GLOBAL\QTPRESET.QTP",".qtp","Unsupported or document. Metadata only."
"MIDI.MPR","E:\مجلد جديد\pa3x\omar44.SET\omar44.SET\GLOBAL\MIDI.MPR",".mpr","Unsupported or document. Metadata only."
"QTPRESET.QTP","E:\مجلد جديد\pa3x\omar44.SET\omar44.SET\GLOBAL\QTPRESET.QTP",".qtp","Unsupported or document. Metadata only."
"MIDI.MPR","E:\مجلد جديد\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\GLOBAL\MIDI.MPR",".mpr","Unsupported or document. Metadata only."
"QTPRESET.QTP","E:\مجلد جديد\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\GLOBAL\QTPRESET.QTP",".qtp","Unsupported or document. Metadata only."
