"map_id","sample_candidate_id","file_name","source_path","extension","source_sha256","low_key_guess","root_key_guess","high_key_guess","velocity_low","velocity_high","loop_mode_guess","linkage_status","confidence","required_next_action","safety_status"
"V1719_MAP_001","V1719_CAND_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP",".kmp","1C143644616E48F29E127A19995C920BA408C53863E098CD9E8AF0A96E70396E","MIDI_34","MIDI_36","MIDI_37","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_002","V1719_CAND_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP",".kmp","0F4671D9BBEB0358C41408A25C87D5D9A526974530AF0048BA1CCF0EAD380139","MIDI_38","MIDI_40","MIDI_41","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_003","V1719_CAND_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP",".kmp","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","MIDI_42","MIDI_44","MIDI_45","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_004","V1719_CAND_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP",".kmp","99E707EEFF4D938D28C7D8E38F47A2A9C3FDE6EE19B52042636FF119B0502986","MIDI_46","MIDI_48","MIDI_49","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_005","V1719_CAND_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP",".kmp","E06F6E2D98BEA8F6448EED5CBFCA6D22787FC468F250676962BDBB5AE253AEAB","MIDI_50","MIDI_52","MIDI_53","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_006","V1719_CAND_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP",".kmp","B19D182ED42037B04E500F2CE0F1432671AE96C440C39AB76638159C6F132FC2","MIDI_54","MIDI_56","MIDI_57","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_007","V1719_CAND_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP",".kmp","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","MIDI_58","MIDI_60","MIDI_61","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_008","V1719_CAND_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP",".kmp","CCA1B45FE41154515029F993A48BA1ED897B4A0B1512983F83ACCC01BAB07547","MIDI_62","MIDI_64","MIDI_65","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_009","V1719_CAND_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP",".kmp","2AFD39D42D18F95631CFB3D9197DB74763DE61D3B245CE152389610A9D673268","MIDI_66","MIDI_68","MIDI_69","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
"V1719_MAP_010","V1719_CAND_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP",".kmp","1DC6F5A374EB4724700C812DE0976A8C5EE43FA94147AC91B976CC99C4AC3588","MIDI_70","MIDI_72","MIDI_73","1","127","UNKNOWN_NEEDS_FORMAT_READER","KMP_STRUCTURE_PLACEHOLDER","LOW_DRAFT_ONLY","V1720_READONLY_STRUCTURE_INSPECTOR","DRAFT_ONLY_NO_BINARY_OUTPUT"
