"writer_source_id","map_id","file_name","source_path","extension","source_sha256","allowed_use","blocked_until","commercial_status"
"V1719_WRITER_SRC_001","V1719_MAP_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP",".kmp","1C143644616E48F29E127A19995C920BA408C53863E098CD9E8AF0A96E70396E","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_002","V1719_MAP_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP",".kmp","0F4671D9BBEB0358C41408A25C87D5D9A526974530AF0048BA1CCF0EAD380139","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_003","V1719_MAP_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP",".kmp","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_004","V1719_MAP_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP",".kmp","99E707EEFF4D938D28C7D8E38F47A2A9C3FDE6EE19B52042636FF119B0502986","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_005","V1719_MAP_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP",".kmp","E06F6E2D98BEA8F6448EED5CBFCA6D22787FC468F250676962BDBB5AE253AEAB","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_006","V1719_MAP_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP",".kmp","B19D182ED42037B04E500F2CE0F1432671AE96C440C39AB76638159C6F132FC2","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_007","V1719_MAP_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP",".kmp","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_008","V1719_MAP_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP",".kmp","CCA1B45FE41154515029F993A48BA1ED897B4A0B1512983F83ACCC01BAB07547","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_009","V1719_MAP_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP",".kmp","2AFD39D42D18F95631CFB3D9197DB74763DE61D3B245CE152389610A9D673268","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_010","V1719_MAP_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP",".kmp","1DC6F5A374EB4724700C812DE0976A8C5EE43FA94147AC91B976CC99C4AC3588","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
"V1719_WRITER_SRC_011","V1719_MAP_011","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SUPER4X.3X ASLY2018.SET\SUPER4X.3X ASLY2018.SET\MULTISMP\RAM.KMP",".kmp","105E7CFF380353FCC8403DC560CEE845CE95BDB2C84FFB9B03C2209ED5B406C4","READONLY_RESEARCH_AND_DRAFT_MAPPING_ONLY","FORMAT_READER_LICENSE_HARDWARE_VALIDATION","NEEDS_LICENSE_REVIEW_BEFORE_SALE"
