"item_id","file_name","source_path","question","required_owner_decision"
"V1719_REVIEW_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
"V1719_REVIEW_011","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SUPER4X.3X ASLY2018.SET\SUPER4X.3X ASLY2018.SET\MULTISMP\RAM.KMP","Confirm whether this KMP/KSF item should remain in the next writer research list.","KEEP_FOR_V1720 / REMOVE / LICENSE_UNKNOWN"
