"candidate_id","file_name","source_path","extension","bytes","sha256","file_exists","set_context","directory_key","research_type","first64_hex","ascii_preview","confidence","status","safety_status"
"V1719_CAND_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP",".kmp","1142486","1C143644616E48F29E127A19995C920BA408C53863E098CD9E8AF0A96E70396E","True","omar44.SET","e:\uaos_open_library_source\pa3x\omar44.set\omar44.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 11 6E CE 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","......n................KORF........T.R..............................................................Z110A STD v3.0.0..b@......n:...........E..............................................................................drams hewa (00L).N.Tu.$.B....D1.E.....","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP",".kmp","295817","0F4671D9BBEB0358C41408A25C87D5D9A526974530AF0048BA1CCF0EAD380139","True","2020 pa1000 pa4x.SET","e:\uaos_open_library_source\pa3x\2020 pa1000 pa4x.set\2020 pa1000 pa4x.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 04 83 81 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 68 00 66 00 05 00 02 00 1C 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00",".......................KORF........h.f......RAM...............................................51...$Z112A STD v1.0.1 // Z112A STD v1.1.0.T.....8....OC31.................E......@...C..;....D5...D^s.@(...\@.MS0`..1.KSF`<.......9i`w.D2...*..9...j....M.,......","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP",".kmp","279934","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","True","tareq pa3x.SET","e:\uaos_open_library_source\pa3x\‏‏rotana(1) pa3x.set - نسخة\tareq pa3x.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 04 45 76 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38","......Ev...............KORF.........RAM........................8..E.OC31..........~.....`.....;HX....<Qa.;SYd;[.e.h.f...t;H..[@l..;...<$""@.!.....SOL *.........l..@o..7....z..`.""@...'{..A{..O..R...R.;...|%...{)..{cc@.b`....LABEM)...........S.a.8.....`......","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP",".kmp","297295","99E707EEFF4D938D28C7D8E38F47A2A9C3FDE6EE19B52042636FF119B0502986","True","3xxxxx.SET","e:\uaos_open_library_source\pa3x\3xxxxx.set\3xxxxx.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 04 89 47 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38",".......G...............KORF.........RAM........................8....OC31.........$.../...E......?..>....""........dm raq 1..AA:@<... X..P.Z@/.D<.......>....""......tak..`.....,o3.......`LA....c(>....""........RQ3-MAJID.ding>.P.V.O...4@n.......,4..37.......,a.","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP",".kmp","2038339","E06F6E2D98BEA8F6448EED5CBFCA6D22787FC468F250676962BDBB5AE253AEAB","True","ABOUD NEXT-MG.SET","e:\uaos_open_library_source\pa3x\aboud next-mg.set\aboud next-mg.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 1F 1A 3B 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00",".......;...............KORF........T.R........................................................-.....Z110A STD v3.1.0iW............7E.. I.......R......................................................w....#..............S v1(00)        ..G....^......1.....R.","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP",".kmp","245807","B19D182ED42037B04E500F2CE0F1432671AE96C440C39AB76638159C6F132FC2","True","rahm pa3x.SET","e:\uaos_open_library_source\pa3x\rahm pa3x.set\rahm pa3x.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 03 C0 27 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38",".......'...............KORF.........RAM........................8....OC31TY.........v.~...E......1z.?....2Z....@...SLID1up down @......f_x..@o.D<...}.?......G...@(..2+.....U0......~.....?..."".%'.....020stal.........^..@o}.7....b?...""..'....19-........=...6.","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP",".kmp","279934","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","True","RoTaNa(1) pa3x.SET","e:\uaos_open_library_source\pa3x\rotana(1) pa3x.set\tareq pa3x.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 04 45 76 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 00 00 18 00 00 00 18 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 01 00 03 00 00 11 03 00 38","......Ev...............KORF.........RAM........................8..E.OC31..........~.....`.....;HX....<Qa.;SYd;[.e.h.f...t;H..[@l..;...<$""@.!.....SOL *.........l..@o..7....z..`.""@...'{..A{..O..R...R.;...|%...{)..{cc@.b`....LABEM)...........S.a.8.....`......","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP",".kmp","1992054","CCA1B45FE41154515029F993A48BA1ED897B4A0B1512983F83ACCC01BAB07547","True","a1111.SET","e:\uaos_open_library_source\pa3x\a1111.set\a1111.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 1E 65 6E 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","......en...............KORF........T.R..............................................................Z110A LB2 v3.0.0'x>@......d...4..3...).E...R......................................................O....1.`............DRM-ALKIS-1R.................D..E...R.","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP",".kmp","1789646","2AFD39D42D18F95631CFB3D9197DB74763DE61D3B245CE152389610A9D673268","True","ROTANA. 2022.SET","e:\uaos_open_library_source\pa3x\rotana. 2022.set\rotana. 2022.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 1B 4E C6 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 54 00 52 00 05 00 02 00 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","......N................KORF........T.R......................................................../.....Z110A LB1 v3.1.0... ......N2...^..""....E...R......................................................w..6./..............Major V2(00L)   .h.].`.7.....D1.E...R.","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
"V1719_CAND_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP",".kmp","474897","1DC6F5A374EB4724700C812DE0976A8C5EE43FA94147AC91B976CC99C4AC3588","True","LIVE CHARKI 3 2.SET","e:\uaos_open_library_source\pa3x\live charki 3 2.set\live charki 3 2.set\multismp","KMP_MULTISAMPLE_STRUCTURE_READONLY_RESEARCH","01 00 01 14 00 07 3F 09 02 00 00 18 00 00 00 0C 0B 00 00 00 00 00 00 4B 4F 52 46 00 05 01 00 18 00 00 00 68 00 66 00 05 00 02 00 1C 52 41 4D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00","......?................KORF........h.f......RAM................................................0...$Z113A ORT v1.4.0 // Z113A ORT v1.5.0.Qj....8..>aOC31 .......$....V...~...R.. ..............R. .p@.`..026st)....b.b#...`/}.= ...0(...L...."".....H(..2-....\y.","MEDIUM_METADATA_ONLY","READONLY_METADATA_RECORDED","READ_ONLY_NO_BINARY_OUTPUT_NO_CRACKING"
