"kmp_candidate_id","kmp_file","ksf_candidate_id","ksf_file","link_type","link_confidence","reason","set_context","directory_key"
"V1719_CAND_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","omar44.SET","e:\uaos_open_library_source\pa3x\omar44.set\omar44.set\multismp"
"V1719_CAND_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","2020 pa1000 pa4x.SET","e:\uaos_open_library_source\pa3x\2020 pa1000 pa4x.set\2020 pa1000 pa4x.set\multismp"
"V1719_CAND_003","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","tareq pa3x.SET","e:\uaos_open_library_source\pa3x\‏‏rotana(1) pa3x.set - نسخة\tareq pa3x.set\multismp"
"V1719_CAND_004","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","3xxxxx.SET","e:\uaos_open_library_source\pa3x\3xxxxx.set\3xxxxx.set\multismp"
"V1719_CAND_005","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","ABOUD NEXT-MG.SET","e:\uaos_open_library_source\pa3x\aboud next-mg.set\aboud next-mg.set\multismp"
"V1719_CAND_006","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","rahm pa3x.SET","e:\uaos_open_library_source\pa3x\rahm pa3x.set\rahm pa3x.set\multismp"
"V1719_CAND_007","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","RoTaNa(1) pa3x.SET","e:\uaos_open_library_source\pa3x\rotana(1) pa3x.set\tareq pa3x.set\multismp"
"V1719_CAND_008","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","a1111.SET","e:\uaos_open_library_source\pa3x\a1111.set\a1111.set\multismp"
"V1719_CAND_009","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","ROTANA. 2022.SET","e:\uaos_open_library_source\pa3x\rotana. 2022.set\rotana. 2022.set\multismp"
"V1719_CAND_010","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","LIVE CHARKI 3 2.SET","e:\uaos_open_library_source\pa3x\live charki 3 2.set\live charki 3 2.set\multismp"
"V1719_CAND_011","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SUPER4X.3X ASLY2018.SET\SUPER4X.3X ASLY2018.SET\MULTISMP\RAM.KMP","","","NO_KSF_MATCH_FOUND","LOW","No KSF candidate in same directory or SET context.","SUPER4X.3X ASLY2018.SET","e:\uaos_open_library_source\pa3x\super4x.3x asly2018.set\super4x.3x asly2018.set\multismp"
