"writer_hint_id","kmp_id","file_name","source_path","sha256","structure_confidence","possible_reference_count","top_next_action","blocked_until","safety_status"
"V1720_WRITER_HINT_001","V1720_KMP_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","1C143644616E48F29E127A19995C920BA408C53863E098CD9E8AF0A96E70396E","MEDIUM_READABLE_HINTS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_002","V1720_KMP_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","0F4671D9BBEB0358C41408A25C87D5D9A526974530AF0048BA1CCF0EAD380139","MEDIUM_READABLE_HINTS","1","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_003","V1720_KMP_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","MEDIUM_READABLE_HINTS","1","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_004","V1720_KMP_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP","99E707EEFF4D938D28C7D8E38F47A2A9C3FDE6EE19B52042636FF119B0502986","MEDIUM_READABLE_HINTS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_005","V1720_KMP_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP","E06F6E2D98BEA8F6448EED5CBFCA6D22787FC468F250676962BDBB5AE253AEAB","LOW_MEDIUM_STRINGS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_006","V1720_KMP_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP","B19D182ED42037B04E500F2CE0F1432671AE96C440C39AB76638159C6F132FC2","MEDIUM_READABLE_HINTS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_007","V1720_KMP_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP","B1DA0FC073EA8829797AA3BD44FAF543F07925065D526A151EF8C3AF9BBC966F","MEDIUM_READABLE_HINTS","1","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_008","V1720_KMP_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP","CCA1B45FE41154515029F993A48BA1ED897B4A0B1512983F83ACCC01BAB07547","MEDIUM_READABLE_HINTS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_009","V1720_KMP_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP","2AFD39D42D18F95631CFB3D9197DB74763DE61D3B245CE152389610A9D673268","MEDIUM_READABLE_HINTS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_010","V1720_KMP_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP","1DC6F5A374EB4724700C812DE0976A8C5EE43FA94147AC91B976CC99C4AC3588","LOW_MEDIUM_STRINGS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
"V1720_WRITER_HINT_011","V1720_KMP_011","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SUPER4X.3X ASLY2018.SET\SUPER4X.3X ASLY2018.SET\MULTISMP\RAM.KMP","105E7CFF380353FCC8403DC560CEE845CE95BDB2C84FFB9B03C2209ED5B406C4","MEDIUM_READABLE_HINTS","0","V1721_READONLY_KMP_PCM_RELATION_REVIEW","FORMAT_READER_LICENSE_AND_HARDWARE_VALIDATION","NO_WRITER_OUTPUT"
