"owner_review_id","kmp_id","file_name","source_path","question","required_decision"
"V1720_REVIEW_001","V1720_KMP_001","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_002","V1720_KMP_002","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_003","V1720_KMP_003","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_004","V1720_KMP_004","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_005","V1720_KMP_005","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_006","V1720_KMP_006","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_007","V1720_KMP_007","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_008","V1720_KMP_008","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_009","V1720_KMP_009","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_010","V1720_KMP_010","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
"V1720_REVIEW_011","V1720_KMP_011","RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\SUPER4X.3X ASLY2018.SET\SUPER4X.3X ASLY2018.SET\MULTISMP\RAM.KMP","Confirm whether this KMP may continue to PCM relation review.","KEEP_FOR_V1721 / REMOVE / LICENSE_UNKNOWN"
