"relation_id","kmp_id","kmp_file","pcm_file","pcm_name","score","confidence_band","reason","source","relation_status","required_next_action","safety_status"
"V1721_REL_00001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM66.PCM","RAM66.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00002","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM67.PCM","RAM67.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00003","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM68.PCM","RAM68.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00004","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM63.PCM","RAM63.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00005","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM64.PCM","RAM64.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00006","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00007","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM72.PCM","RAM72.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00008","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM73.PCM","RAM73.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00009","V1720_KMP_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\PCM\RAM66.PCM","RAM66.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
"V1721_REL_00010","V1720_KMP_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\PCM\RAM67.PCM","RAM67.PCM","50","LOW_MEDIUM_HINT","same_set_context","V1720_PCM_LINK_HINT","RELATION_HINT_ONLY_NOT_CONFIRMED","OWNER_DECISION_AND_V1722_READONLY_PCM_GROUP_REVIEW","READ_ONLY_NO_BINARY_OUTPUT"
