"group_id","kmp_id","kmp_file","pcm_candidate_count","top_pcm_file","top_pcm_name","top_score","top_confidence","average_score","high_hint_count","medium_high_hint_count","medium_hint_count","low_hint_count","group_status","owner_decision_required","next_action"
"V1721_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_002","V1720_KMP_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_003","V1720_KMP_003","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_004","V1720_KMP_004","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_005","V1720_KMP_005","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_006","V1720_KMP_006","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_007","V1720_KMP_007","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_008","V1720_KMP_008","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_009","V1720_KMP_009","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
"V1721_GROUP_010","V1720_KMP_010","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\MULTISMP\RAM.KMP","8","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\PCM\RAM65.PCM","RAM65.PCM","50","LOW_MEDIUM_HINT","50","0","0","0","8","RELATION_GROUP_HINT_ONLY_NOT_CONFIRMED","True","LOW_CONFIDENCE_HOLD"
