"parser_map_id","review_group_id","kmp_id","top_pcm_file","parser_tier","readiness_status","allowed_work","blocked_work","owner_decision_required","next_phase"
"V1722_PARSER_MAP_001","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_002","V1722_PCM_GROUP_002","V1720_KMP_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_003","V1722_PCM_GROUP_003","V1720_KMP_003","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\‏‏RoTaNa(1) pa3x.SET - نسخة\tareq pa3x.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_004","V1722_PCM_GROUP_004","V1720_KMP_004","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\3xxxxx.SET\3xxxxx.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_005","V1722_PCM_GROUP_005","V1720_KMP_005","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ABOUD NEXT-MG.SET\ABOUD NEXT-MG.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_006","V1722_PCM_GROUP_006","V1720_KMP_006","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\rahm pa3x.SET\rahm pa3x.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_007","V1722_PCM_GROUP_007","V1720_KMP_007","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\RoTaNa(1) pa3x.SET\tareq pa3x.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_008","V1722_PCM_GROUP_008","V1720_KMP_008","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\a1111.SET\a1111.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_009","V1722_PCM_GROUP_009","V1720_KMP_009","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\ROTANA. 2022.SET\ROTANA. 2022.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
"V1722_PARSER_MAP_010","V1722_PCM_GROUP_010","V1720_KMP_010","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\LIVE CHARKI 3 2.SET\LIVE CHARKI 3 2.SET\PCM\RAM65.PCM","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","READONLY_PARSER_FEASIBILITY_ANALYSIS_ONLY","NO_PCM_DECODE_NO_WRITER_NO_SET_OUTPUT_NO_USB","True","UAOS V1723 READONLY_PCM_PARSER_FEASIBILITY_MAP"
