"feasibility_id","review_group_id","kmp_id","kmp_file","pcm_file","pcm_name","pcm_exists","pcm_bytes","pcm_size_band","score","confidence_band","reason","parser_tier","feasibility_status","required_next_action","safety_status"
"V1722_FEAS_00001","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM66.PCM","RAM66.PCM","True","4344064","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00002","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM67.PCM","RAM67.PCM","True","4350503","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00003","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM68.PCM","RAM68.PCM","True","4265735","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00004","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM63.PCM","RAM63.PCM","True","4195152","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00005","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM64.PCM","RAM64.PCM","True","4736137","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00006","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM65.PCM","RAM65.PCM","True","4737430","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00007","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM72.PCM","RAM72.PCM","True","4216747","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00008","V1722_PCM_GROUP_001","V1720_KMP_001","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\omar44.SET\omar44.SET\PCM\RAM73.PCM","RAM73.PCM","True","4157643","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00009","V1722_PCM_GROUP_002","V1720_KMP_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\PCM\RAM66.PCM","RAM66.PCM","True","3140580","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
"V1722_FEAS_00010","V1722_PCM_GROUP_002","V1720_KMP_002","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\MULTISMP\RAM.KMP","E:\UAOS_OPEN_LIBRARY_SOURCE\pa3x\2020 pa1000 pa4x.SET\2020 pa1000 pa4x.SET\PCM\RAM67.PCM","RAM67.PCM","True","2898297","MEDIUM_PCM","50","LOW_MEDIUM_HINT","same_set_context","TIER_4_HOLD_LOW_CONFIDENCE","HOLD","OWNER_DECISION_BEFORE_V1723_PARSER_FEASIBILITY","READ_ONLY_NO_BINARY_OUTPUT"
