"name","tier","owner_review","parser_path","writer_path"
"UAOS_CURRENT_OPEN_LIBRARY_INTAKE.json","library_catalog","True","CLOSED","BLOCKED"
"UAOS_CURRENT_OWNER_LIBRARY_WRITER.json","library_catalog","True","CLOSED","BLOCKED"
"library-worker.md","library_catalog","True","CLOSED","BLOCKED"
"AGENT_D_PREMIUM_LIBRARY_METADATA_PLANNING_REPORT.md","library_catalog","True","CLOSED","BLOCKED"
"AGENT_D_PREMIUM_LIBRARY_METADATA_PLAN.md","library_catalog","True","CLOSED","BLOCKED"
"LIBRARY_AWARE_INSTRUMENT_SELECTION.md","library_catalog","True","CLOSED","BLOCKED"
"AI-007-premium-library-metadata-next-step.md","library_catalog","True","CLOSED","BLOCKED"
"UAOS_CYCLE_003_LIBRARY_METADATA_MODEL.json","library_catalog","True","CLOSED","BLOCKED"
"UAOS_CYCLE_003_LIBRARY_QUALITY_TIERS.md","library_catalog","True","CLOSED","BLOCKED"
"UAOS_CYCLE_010_LIBRARY_CLAIM_SAFETY_POLICY.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_AGENT_TASKS.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_FUTURE_PROOF_PACK_PLAN.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_LEGAL_SAFETY_POLICY.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_METADATA_PLAN.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_NO_SAMPLE_COPY_POLICY.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_PROVENANCE_POLICY.md","library_catalog","True","CLOSED","BLOCKED"
"PREMIUM_LIBRARY_SCHEMA_PLAN.md","library_catalog","True","CLOSED","BLOCKED"
