"phase","slug","status","scope","parser_path","writer_path","deploy_path","payment_path"
"V1767","v1767-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1768","v1768-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1769","v1769-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1770","v1770-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1771","v1771-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1772","v1772-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1773","v1773-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1774","v1774-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1775","v1775-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1776","v1776-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
"V1777","v1777-launch-control","LAUNCH_TRAIN_01_PHASE_READY","Big launch readiness / control / portal / owner handoff / legal placeholders / disabled gates","CLOSED","BLOCKED","BLOCKED_UNTIL_OWNER_APPROVAL","BLOCKED_UNTIL_OWNER_APPROVAL"
