"item","status","ready"
"business_registration_confirmation","OWNER_REQUIRED","False"
"business_name","OWNER_REQUIRED","False"
"business_address","OWNER_REQUIRED","False"
"tax_status","OWNER_REQUIRED","False"
"legal_pages_finalized","OWNER_REQUIRED","False"
"prices_finalized","OWNER_REQUIRED","False"
"payment_provider_selected","OWNER_REQUIRED","False"
"deploy_target_selected","OWNER_REQUIRED","False"
"final_QA_pass","READY","True"
"owner_deploy_approval","OWNER_REQUIRED","False"
"owner_payment_approval","OWNER_REQUIRED","False"
