"gate","state","can_override"
"deploy","BLOCKED","owner_explicit_approval_only"
"payment","DISABLED","owner_explicit_approval_only"
"public_activation","BLOCKED","owner_explicit_approval_only"
"real_invoice","BLOCKED","owner_tax_legal_finalization_required"
"automatic_delivery","BLOCKED","not_in_current_phase"
"parser","CLOSED","not_in_current_phase"
"pcm_payload_parse","BLOCKED","not_in_current_phase"
"sample_decode","BLOCKED","not_in_current_phase"
"keyboard_binary_writer","BLOCKED","not_in_current_phase"
"usb_hardware_load","BLOCKED","not_in_current_phase"
"pa3x_ready_claim","BLOCKED","not_in_current_phase"
