"item","status","blocks_public_launch"
"business_registration_confirmation","OWNER_REQUIRED","True"
"business_address_for_impressum","OWNER_REQUIRED","True"
"tax_number_or_pending_note","OWNER_REQUIRED","True"
"vat_kleinunternehmer_decision","OWNER_REQUIRED","True"
"impressum_final","OWNER_REQUIRED","True"
"datenschutz_final","OWNER_REQUIRED","True"
"agb_final","OWNER_REQUIRED","True"
"widerruf_final","OWNER_REQUIRED","True"
"prices_final","OWNER_REQUIRED","True"
"payment_provider_selected","OWNER_REQUIRED","True"
"deploy_target_selected","OWNER_REQUIRED","True"
"owner_deploy_approval","OWNER_REQUIRED","True"
"owner_payment_approval","OWNER_REQUIRED","True"
