"document","status","approved"
"Gewerbeanmeldung / business registration","OWNER_REQUIRED","False"
"Business address / Impressum data","OWNER_REQUIRED","False"
"Tax status / Steuernummer or pending note","OWNER_REQUIRED","False"
"Kleinunternehmer / VAT decision","OWNER_REQUIRED","False"
"Impressum","OWNER_REQUIRED","False"
"Datenschutz","OWNER_REQUIRED","False"
"AGB","OWNER_REQUIRED","False"
"Widerruf","OWNER_REQUIRED","False"
"Final pricing","OWNER_REQUIRED","False"
"Payment provider","OWNER_REQUIRED","False"
"Deploy target","OWNER_REQUIRED","False"
