"proof","status","activation_needed"
"local launch room","READY","False"
"owner command board","READY","False"
"customer onboarding waitlist disabled","READY_DISABLED","False"
"manual sales desk","READY_DISABLED","False"
"legal tax readiness room","PLACEHOLDER_READY","False"
"multilingual public copy","READY_LOCKED","False"
"document intake applier dryrun","READY_DRYRUN","False"
"locked activation simulator","READY_LOCKED","False"
"backup restore drill","READY_DRYRUN","False"
"public activation","BLOCKED","True"
"payment","DISABLED","True"
"deploy","BLOCKED","True"
"real invoice","BLOCKED","True"
"automatic delivery","BLOCKED","True"
